Provincias;Grupo penal;periodo;Total
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;9773
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;7367
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;5578
Total Nacional;AMENAZAS Y COACCIONES;2024;17738
Total Nacional;AMENAZAS Y COACCIONES;2023;17472
Total Nacional;AMENAZAS Y COACCIONES;2022;15982
Total Nacional;CONTRA EL HONOR;2024;1128
Total Nacional;CONTRA EL HONOR;2023;1174
Total Nacional;CONTRA EL HONOR;2022;1191
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;227
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;117
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;114
Total Nacional;DELITOS SEXUALES;2024;1676
Total Nacional;DELITOS SEXUALES;2023;1804
Total Nacional;DELITOS SEXUALES;2022;1646
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2024;19492
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2023;15137
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2022;12569
Total Nacional;FRAUDE INFORMÁTICO;2024;412850
Total Nacional;FRAUDE INFORMÁTICO;2023;427448
Total Nacional;FRAUDE INFORMÁTICO;2022;335995
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;1917
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;1741
Total Nacional;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;1662
Total Nacional;TOTAL grupo penal;2024;464801
Total Nacional;TOTAL grupo penal;2023;472260
Total Nacional;TOTAL grupo penal;2022;374737
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;32
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;49
Araba/Álava;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;38
Araba/Álava;AMENAZAS Y COACCIONES;2024;236
Araba/Álava;AMENAZAS Y COACCIONES;2023;232
Araba/Álava;AMENAZAS Y COACCIONES;2022;116
Araba/Álava;CONTRA EL HONOR;2024;0
Araba/Álava;CONTRA EL HONOR;2023;0
Araba/Álava;CONTRA EL HONOR;2022;1
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;0
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;2
Araba/Álava;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;0
Araba/Álava;DELITOS SEXUALES;2024;18
Araba/Álava;DELITOS SEXUALES;2023;25
Araba/Álava;DELITOS SEXUALES;2022;5
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2024;197
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2023;201
Araba/Álava;FALSIFICACIÓN INFORMÁTICA;2022;205
Araba/Álava;FRAUDE INFORMÁTICO;2024;3953
Araba/Álava;FRAUDE INFORMÁTICO;2023;4139
Araba/Álava;FRAUDE INFORMÁTICO;2022;3186
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;4
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;5
Araba/Álava;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;10
Araba/Álava;TOTAL grupo penal;2024;4440
Araba/Álava;TOTAL grupo penal;2023;4653
Araba/Álava;TOTAL grupo penal;2022;3561
Albacete;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;84
Albacete;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;47
Albacete;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;57
Albacete;AMENAZAS Y COACCIONES;2024;151
Albacete;AMENAZAS Y COACCIONES;2023;158
Albacete;AMENAZAS Y COACCIONES;2022;144
Albacete;CONTRA EL HONOR;2024;17
Albacete;CONTRA EL HONOR;2023;16
Albacete;CONTRA EL HONOR;2022;15
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;9
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;3
Albacete;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;5
Albacete;DELITOS SEXUALES;2024;12
Albacete;DELITOS SEXUALES;2023;16
Albacete;DELITOS SEXUALES;2022;16
Albacete;FALSIFICACIÓN INFORMÁTICA;2024;143
Albacete;FALSIFICACIÓN INFORMÁTICA;2023;111
Albacete;FALSIFICACIÓN INFORMÁTICA;2022;78
Albacete;FRAUDE INFORMÁTICO;2024;3012
Albacete;FRAUDE INFORMÁTICO;2023;3229
Albacete;FRAUDE INFORMÁTICO;2022;2966
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2024;64
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;36
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;27
Albacete;TOTAL grupo penal;2024;3492
Albacete;TOTAL grupo penal;2023;3616
Albacete;TOTAL grupo penal;2022;3308
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;405
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;318
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;198
Alicante/Alacant;AMENAZAS Y COACCIONES;2024;890
Alicante/Alacant;AMENAZAS Y COACCIONES;2023;853
Alicante/Alacant;AMENAZAS Y COACCIONES;2022;713
Alicante/Alacant;CONTRA EL HONOR;2024;38
Alicante/Alacant;CONTRA EL HONOR;2023;41
Alicante/Alacant;CONTRA EL HONOR;2022;45
Alicante/Alacant;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;20
Alicante/Alacant;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;10
Alicante/Alacant;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;7
Alicante/Alacant;DELITOS SEXUALES;2024;85
Alicante/Alacant;DELITOS SEXUALES;2023;84
Alicante/Alacant;DELITOS SEXUALES;2022;95
Alicante/Alacant;FALSIFICACIÓN INFORMÁTICA;2024;945
Alicante/Alacant;FALSIFICACIÓN INFORMÁTICA;2023;763
