Provincias;Grupo penal;periodo;Total
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;9.773
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;7.367
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;5.578
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;5.342
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;4.653
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;4.004
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2018;3.384
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2017;3.150
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2016;3.243
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2015;2.893
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2014;1.851
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2013;1.805
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2012;1.701
Total Nacional;ACCESO  E INTERCEPTACIÓN ILÍCITA;2011;1.492
Total Nacional;AMENAZAS Y COACCIONES;2024;17.738
Total Nacional;AMENAZAS Y COACCIONES;2023;17.472
Total Nacional;AMENAZAS Y COACCIONES;2022;15.982
Total Nacional;AMENAZAS Y COACCIONES;2021;17.319
Total Nacional;AMENAZAS Y COACCIONES;2020;14.066
Total Nacional;AMENAZAS Y COACCIONES;2019;12.782
Total Nacional;AMENAZAS Y COACCIONES;2018;12.800
Total Nacional;AMENAZAS Y COACCIONES;2017;11.812
Total Nacional;AMENAZAS Y COACCIONES;2016;12.036
Total Nacional;AMENAZAS Y COACCIONES;2015;10.607
Total Nacional;AMENAZAS Y COACCIONES;2014;9.559
Total Nacional;AMENAZAS Y COACCIONES;2013;9.064
Total Nacional;AMENAZAS Y COACCIONES;2012;9.207
Total Nacional;AMENAZAS Y COACCIONES;2011;9.839
Total Nacional;CONTRA EL HONOR;2024;1.128
Total Nacional;CONTRA EL HONOR;2023;1.174
Total Nacional;CONTRA EL HONOR;2022;1.191
Total Nacional;CONTRA EL HONOR;2021;1.426
Total Nacional;CONTRA EL HONOR;2020;1.550
Total Nacional;CONTRA EL HONOR;2019;1.422
Total Nacional;CONTRA EL HONOR;2018;1.448
Total Nacional;CONTRA EL HONOR;2017;1.561
Total Nacional;CONTRA EL HONOR;2016;1.546
Total Nacional;CONTRA EL HONOR;2015;2.205
Total Nacional;CONTRA EL HONOR;2014;2.212
Total Nacional;CONTRA EL HONOR;2013;1.963
Total Nacional;CONTRA EL HONOR;2012;1.891
Total Nacional;CONTRA EL HONOR;2011;1.941
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2024;227
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2023;117
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2022;114
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2021;137
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2020;125
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2019;197
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2018;232
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2017;121
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2016;129
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2015;172
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2014;183
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2013;172
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2012;144
Total Nacional;CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL;2011;222
Total Nacional;DELITOS SEXUALES;2024;1.676
Total Nacional;DELITOS SEXUALES;2023;1.804
Total Nacional;DELITOS SEXUALES;2022;1.646
Total Nacional;DELITOS SEXUALES;2021;1.628
Total Nacional;DELITOS SEXUALES;2020;1.783
Total Nacional;DELITOS SEXUALES;2019;1.774
Total Nacional;DELITOS SEXUALES;2018;1.581
Total Nacional;DELITOS SEXUALES;2017;1.392
Total Nacional;DELITOS SEXUALES;2016;1.231
Total Nacional;DELITOS SEXUALES;2015;1.306
Total Nacional;DELITOS SEXUALES;2014;974
Total Nacional;DELITOS SEXUALES;2013;768
Total Nacional;DELITOS SEXUALES;2012;715
Total Nacional;DELITOS SEXUALES;2011;755
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2024;19.492
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2023;15.137
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2022;12.569
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2021;10.476
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2020;6.289
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2019;4.275
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2018;3.436
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2017;3.280
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2016;3.017
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2015;2.644
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2014;1.874
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2013;1.608
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2012;1.625
Total Nacional;FALSIFICACIÓN INFORMÁTICA;2011;1.860
Total Nacional;FRAUDE INFORMÁTICO;2024;412.850
Total Nacional;FRAUDE INFORMÁTICO;2023;427.448
Total Nacional;FRAUDE INFORMÁTICO;2022;335.995
Total Nacional;FRAUDE INFORMÁTICO;2021;267.011
Total Nacional;FRAUDE INFORMÁTICO;2020;257.907
Total Nacional;FRAUDE INFORMÁTICO;2019;192.375
Total Nacional;FRAUDE INFORMÁTICO;2018;136.656
Total Nacional;FRAUDE INFORMÁTICO;2017;94.792
Total Nacional;FRAUDE INFORMÁTICO;2016;70.178
Total Nacional;FRAUDE INFORMÁTICO;2015;62.038
Total Nacional;FRAUDE INFORMÁTICO;2014;32.842
Total Nacional;FRAUDE INFORMÁTICO;2013;26.664
