codigo_ine;Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;Peso_Fraude;VAR_pct
02;albacete;fraude_informatico;2022;2966;387529;Castilla-La Mancha;7.6536;89.66142684401451;
02;albacete;fraude_informatico;2023;3229;389070;Castilla-La Mancha;8.2993;89.29756637168141;8.867161159811188
02;albacete;fraude_informatico;2024;3012;390751;Castilla-La Mancha;7.7082;86.25429553264605;-6.720346856611958
03;alicante;fraude_informatico;2022;11280;1955268;C. Valenciana;5.769;86.27151051625239;
03;alicante;fraude_informatico;2023;15789;1993289;C. Valenciana;7.9211;88.1574539363484;39.973404255319146
03;alicante;fraude_informatico;2024;15484;2033566;C. Valenciana;7.6142;86.44001563110591;-1.9317246184052173
04;almeria;fraude_informatico;2022;3041;753364;Andalucía;4.0366;87.3097904105656;
04;almeria;fraude_informatico;2023;4414;760964;Andalucía;5.8005;88.68796463733173;45.149621834922726
04;almeria;fraude_informatico;2024;5226;770554;Andalucía;6.7821;88.21742066171507;18.396012686905294
01;araba;fraude_informatico;2022;3186;336308;País Vasco;9.4735;89.46925021061499;
01;araba;fraude_informatico;2023;4139;338594;País Vasco;12.2241;88.95336342144853;29.912115505335834
01;araba;fraude_informatico;2024;3953;341961;País Vasco;11.5598;89.03153153153153;-4.493839091568008
33;asturias;fraude_informatico;2022;7661;1006060;Asturias;7.6149;89.49766355140187;
33;asturias;fraude_informatico;2023;7897;1009599;Asturias;7.8219;91.3159111933395;3.0805377888004193
33;asturias;fraude_informatico;2024;8117;1015128;Asturias;7.996;88.39159316127628;2.7858680511586575
05;avila;fraude_informatico;2022;1094;159764;Castilla y León;6.8476;89.81937602627258;
05;avila;fraude_informatico;2023;1684;160463;Castilla y León;10.4946;91.57150625339858;53.93053016453382
05;avila;fraude_informatico;2024;1626;160738;Castilla y León;10.1158;91.6056338028169;-3.444180522565321
06;badajoz;fraude_informatico;2022;4423;666049;Extremadura;6.6407;86.94712011008453;
06;badajoz;fraude_informatico;2023;4809;666029;Extremadura;7.2204;84.62079887383425;8.727108297535601
06;badajoz;fraude_informatico;2024;4669;665155;Extremadura;7.0194;81.00277585010409;-2.911208151382827
07;balears;fraude_informatico;2022;7452;1209906;Islas Baleares;6.1592;85.64532812320424;
07;balears;fraude_informatico;2023;10299;1231768;Islas Baleares;8.3612;89.67348715716152;38.204508856682764
07;balears;fraude_informatico;2024;11491;1249844;Islas Baleares;9.1939;88.71303945032038;11.573939217399754
08;barcelona;fraude_informatico;2022;45021;5797356;Cataluña;7.7658;96.7922946273085;
08;barcelona;fraude_informatico;2023;53494;5877672;Cataluña;9.1012;97.33437653523535;18.820106172674976
08;barcelona;fraude_informatico;2024;53332;5959941;Cataluña;8.9484;95.29527383185919;-0.3028377014244632
48;bizkaia;fraude_informatico;2022;10103;1153282;País Vasco;8.7602;89.5894298128935;
48;bizkaia;fraude_informatico;2023;13061;1159368;País Vasco;11.2656;90.13802622498275;29.278432148866674
48;bizkaia;fraude_informatico;2024;12056;1167233;País Vasco;10.3287;89.34341188676449;-7.694663502028942
09;burgos;fraude_informatico;2022;2505;357370;Castilla y León;7.0095;88.76683203401842;
09;burgos;fraude_informatico;2023;3205;359740;Castilla y León;8.9092;90.02808988764045;27.944111776447112
09;burgos;fraude_informatico;2024;3000;362663;Castilla y León;8.2721;89.41877794336811;-6.396255850234011
10;caceres;fraude_informatico;2022;2154;388257;Extremadura;5.5479;88.2425235559197;
10;caceres;fraude_informatico;2023;2640;388652;Extremadura;6.7927;84.18367346938776;22.562674094707514
10;caceres;fraude_informatico;2024;2381;388190;Extremadura;6.1336;76.98027804720337;-9.810606060606064
11;cadiz;fraude_informatico;2022;8982;1254866;Andalucía;7.1577;87.15311469047157;
11;cadiz;fraude_informatico;2023;11370;1258730;Andalucía;9.0329;88.33812446585347;26.586506346025374
11;cadiz;fraude_informatico;2024;10821;1261420;Andalucía;8.5784;85.62272511473334;-4.828496042216357
39;cantabria;fraude_informatico;2022;4349;588387;Cantabria;7.3914;90.49105285060341;
39;cantabria;fraude_informatico;2023;5428;590851;Cantabria;9.1867;90.95174262734585;24.81030121867096
39;cantabria;fraude_informatico;2024;5774;593623;Cantabria;9.7267;88.34149326805385;6.37435519528371
12;castellon;fraude_informatico;2022;2137;604086;C. Valenciana;3.5376;82.95807453416148;
12;castellon;fraude_informatico;2023;3557;615188;C. Valenciana;5.782;89.86862051541182;66.44829199812821
12;castellon;fraude_informatico;2024;3782;627620;C. Valenciana;6.0259;87.28363720286177;6.325555243182457
51;ceuta;fraude_informatico;2022;469;83052;Ceuta;5.6471;82.71604938271605;
51;ceuta;fraude_informatico;2023;514;83179;Ceuta;6.1794;86.82432432432432;9.594882729211097
51;ceuta;fraude_informatico;2024;497;83567;Ceuta;5.9473;83.9527027027027;-3.3073929961089488
13;ciudad_real;fraude_informatico;2022;2880;491927;Castilla-La Mancha;5.8545;88.80666049953746;
13;ciudad_real;fraude_informatico;2023;3190;492948;Castilla-La Mancha;6.4713;90.06211180124224;10.763888888888884
13;ciudad_real;fraude_informatico;2024;3047;494848;Castilla-La Mancha;6.1574;90.12126589766342;-4.482758620689653
14;cordoba;fraude_informatico;2022;4632;775002;Andalucía;5.9768;85.55596601403768;
14;cordoba;fraude_informatico;2023;6732;774313;Andalucía;8.6942;87.77053455019556;45.336787564766844
14;cordoba;fraude_informatico;2024;6462;773163;Andalucía;8.3579;86.79650772330423;-4.01069518716578
15;coruna;fraude_informatico;2022;7434;1123884;Galicia;6.6146;88.11188811188812;
15;coruna;fraude_informatico;2023;7639;1128449;Galicia;6.7695;85.79290206648697;2.7576002152273293
15;coruna;fraude_informatico;2024;8452;1135623;Galicia;7.4426;84.71484414152552;10.642754287210376
16;cuenca;fraude_informatico;2022;1411;198436;Castilla-La Mancha;7.1106;89.36035465484484;
16;cuenca;fraude_informatico;2023;1536;199025;Castilla-La Mancha;7.7176;89.98242530755711;8.858965272856123
16;cuenca;fraude_informatico;2024;1308;199859;Castilla-La Mancha;6.5446;87.78523489932886;-14.84375
20;gipuzkoa;fraude_informatico;2022;5572;726712;País Vasco;7.6674;91.81084198385237;
20;gipuzkoa;fraude_informatico;2023;7895;729722;País Vasco;10.8192;90.1152836434197;41.69059583632448
20;gipuzkoa;fraude_informatico;2024;6882;733149;País Vasco;9.3869;89.07584778669428;-12.830905636478784
17;girona;fraude_informatico;2022;6833;808672;Cataluña;8.4497;95.99606631076145;
17;girona;fraude_informatico;2023;8397;821108;Cataluña;10.2264;96.73963133640552;22.88892141080052
17;girona;fraude_informatico;2024;7652;830429;Cataluña;9.2145;95.6739184796199;-8.872216267714661
18;granada;fraude_informatico;2022;4700;934072;Andalucía;5.0317;86.57211272794252;
18;granada;fraude_informatico;2023;8978;939741;Andalucía;9.5537;90.3491999597464;91.02127659574468
18;granada;fraude_informatico;2024;8275;945797;Andalucía;8.7492;87.28902953586498;-7.830251726442416
19;guadalajara;fraude_informatico;2022;1551;275082;Castilla-La Mancha;5.6383;86.07103218645949;
19;guadalajara;fraude_informatico;2023;3096;280225;Castilla-La Mancha;11.0483;91.0856134157105;99.61315280464216
19;guadalajara;fraude_informatico;2024;2823;285839;Castilla-La Mancha;9.8762;91.06451612903226;-8.817829457364345
21;huelva;fraude_informatico;2022;1681;534084;Andalucía;3.1474;80.77847188851514;
21;huelva;fraude_informatico;2023;3004;535734;Andalucía;5.6073;88.56132075471697;78.7031528851874
21;huelva;fraude_informatico;2024;3118;538789;Andalucía;5.7871;87.880496054115;3.794940079893472
22;huesca;fraude_informatico;2022;1389;226878;Aragón;6.1222;90.25341130604289;
22;huesca;fraude_informatico;2023;1876;228519;Aragón;8.2094;88.78371982962612;35.06119510439165
22;huesca;fraude_informatico;2024;2006;230087;Aragón;8.7184;87.4074074074074;6.929637526652455
23;jaen;fraude_informatico;2022;3207;620637;Andalucía;5.1673;85.70283270978086;
23;jaen;fraude_informatico;2023;5034;619055;Andalucía;8.1317;91.09663409337676;56.96913002806361
23;jaen;fraude_informatico;2024;4397;618143;Andalucía;7.1132;88.18692338547935;-12.653953118792217
24;leon;fraude_informatico;2022;3373;448573;Castilla y León;7.5194;89.77907905243545;
24;leon;fraude_informatico;2023;3858;447802;Castilla y León;8.6154;88.60817638952688;14.378891194782085
24;leon;fraude_informatico;2024;3966;448030;Castilla y León;8.8521;87.64640883977901;2.7993779160186527
25;lleida;fraude_informatico;2022;3847;447343;Cataluña;8.5997;94.49766642102676;
