codigo_ine;Provincias;periodo;CCAA;Total_Ciberdelitos_Global;Poblacion_Provincial;Tasa_Global
01;araba;2022;País Vasco;375;336308;1.1150493000463861
01;araba;2023;País Vasco;514;338594;1.518042257098472
01;araba;2024;País Vasco;487;341961;1.424139010004065
02;albacete;2022;Castilla-La Mancha;342;387529;0.8825145989074366
02;albacete;2023;Castilla-La Mancha;387;389070;0.9946796206338191
02;albacete;2024;Castilla-La Mancha;480;390751;1.2284037660812128
03;alicante;2022;C. Valenciana;1795;1955268;0.9180327198112995
03;alicante;2023;C. Valenciana;2121;1993289;1.0640704885242431
03;alicante;2024;C. Valenciana;2429;2033566;1.1944534871255714
04;almeria;2022;Andalucía;442;753364;0.5867017802815107
04;almeria;2023;Andalucía;563;760964;0.739851031060602
04;almeria;2024;Andalucía;698;770554;0.9058417709855506
05;avila;2022;Castilla y León;124;159764;0.7761448136000602
05;avila;2023;Castilla y León;155;160463;0.9659547683889744
05;avila;2024;Castilla y León;149;160738;0.9269743308987296
06;badajoz;2022;Extremadura;664;666049;0.9969236497615039
06;badajoz;2023;Extremadura;874;666029;1.3122551720720868
06;badajoz;2024;Extremadura;1095;665155;1.6462328329487113
07;balears;2022;Islas Baleares;1249;1209906;1.0323116010665292
07;balears;2023;Islas Baleares;1186;1231768;0.9628436523760968
07;balears;2024;Islas Baleares;1462;1249844;1.1697459842988407
08;barcelona;2022;Cataluña;1492;5797356;0.2573586993795103
08;barcelona;2023;Cataluña;1465;5877672;0.24924834186051895
08;barcelona;2024;Cataluña;2633;5959941;0.4417828968441131
09;burgos;2022;Castilla y León;317;357370;0.8870358452024512
09;burgos;2023;Castilla y León;355;359740;0.986823817201312
09;burgos;2024;Castilla y León;355;362663;0.9788701907831789
10;caceres;2022;Extremadura;287;388257;0.7392010961811378
10;caceres;2023;Extremadura;496;388652;1.2762059631752827
10;caceres;2024;Extremadura;712;388190;1.834153378500219
11;cadiz;2022;Andalucía;1324;1254866;1.0550927350011874
11;cadiz;2023;Andalucía;1501;1258730;1.192471777108673
11;cadiz;2024;Andalucía;1817;1261420;1.440440138891091
12;castellon;2022;C. Valenciana;439;604086;0.7267177190002748
12;castellon;2023;C. Valenciana;401;615188;0.6518332607268023
12;castellon;2024;C. Valenciana;551;627620;0.8779197603645518
13;ciudad_real;2022;Castilla-La Mancha;363;491927;0.7379143653428252
13;ciudad_real;2023;Castilla-La Mancha;352;492948;0.7140712610660759
13;ciudad_real;2024;Castilla-La Mancha;334;494848;0.6749547335747543
14;cordoba;2022;Andalucía;782;775002;1.0090296541170216
14;cordoba;2023;Andalucía;938;774313;1.2113964249599323
14;cordoba;2024;Andalucía;983;773163;1.271400726625563
15;coruna;2022;Galicia;1003;1123884;0.892440856885586
15;coruna;2023;Galicia;1265;1128449;1.121007683998125
15;coruna;2024;Galicia;1525;1135623;1.342875232361444
16;cuenca;2022;Castilla-La Mancha;168;198436;0.846620572879921
16;cuenca;2023;Castilla-La Mancha;171;199025;0.8591885441527447
16;cuenca;2024;Castilla-La Mancha;182;199859;0.9106420026118414
17;girona;2022;Cataluña;285;808672;0.352429662458945
17;girona;2023;Cataluña;283;821108;0.3446562449763003
17;girona;2024;Cataluña;346;830429;0.4166521159545247
18;granada;2022;Andalucía;729;934072;0.7804537551709076
18;granada;2023;Andalucía;959;939741;1.020493944608142
18;granada;2024;Andalucía;1205;945797;1.274057752350663
19;guadalajara;2022;Castilla-La Mancha;251;275082;0.912455195178165
19;guadalajara;2023;Castilla-La Mancha;303;280225;1.0812739762690695
19;guadalajara;2024;Castilla-La Mancha;277;285839;0.9690769978904208
20;gipuzkoa;2022;País Vasco;497;726712;0.6839022886645604
20;gipuzkoa;2023;País Vasco;866;729722;1.1867533115350777
20;gipuzkoa;2024;País Vasco;844;733149;1.1511984603402583
21;huelva;2022;Andalucía;400;534084;0.7489458587038743
21;huelva;2023;Andalucía;388;535734;0.7242400146341281
21;huelva;2024;Andalucía;430;538789;0.7980860782235718
22;huesca;2022;Aragón;150;226878;0.6611482823367625
22;huesca;2023;Aragón;237;228519;1.037112887768632
22;huesca;2024;Aragón;289;230087;1.2560466258415295
23;jaen;2022;Andalucía;535;620637;0.8620175722684918
23;jaen;2023;Andalucía;492;619055;0.794759754787539
23;jaen;2024;Andalucía;589;618143;0.9528539512701752
24;leon;2022;Castilla y León;384;448573;0.8560479565198975
24;leon;2023;Castilla y León;496;447802;1.1076323911014243
24;leon;2024;Castilla y León;559;448030;1.2476843068544519
25;lleida;2022;Cataluña;224;447343;0.5007343358452016
25;lleida;2023;Cataluña;228;451707;0.5047519741779516
25;lleida;2024;Cataluña;264;458226;0.5761349203231593
26;rioja;2022;La Rioja;281;322282;0.8719072116965888
26;rioja;2023;La Rioja;343;324184;1.0580411124546554
26;rioja;2024;La Rioja;444;326803;1.358616658965799
27;lugo;2022;Galicia;160;324267;0.49342054541473535
27;lugo;2023;Galicia;252;325048;0.7752701139524009
27;lugo;2024;Galicia;298;326022;0.9140487451767059
28;madrid;2022;Madrid;5964;6871903;0.8678818662021277
28;madrid;2023;Madrid;7347;7009268;1.048183633440753
28;madrid;2024;Madrid;8116;7113886;1.1408673121835238
29;malaga;2022;Andalucía;1633;1752728;0.9316904847757325
29;malaga;2023;Andalucía;1752;1774701;0.9872085494965067
29;malaga;2024;Andalucía;2182;1791183;1.2181893195725952
30;murcia;2022;Murcia;1320;1551692;0.8506842852834196
30;murcia;2023;Murcia;1438;1568492;0.9168041660397376
30;murcia;2024;Murcia;1697;1586989;1.0693205813020759
31;navarra;2022;Navarra;683;672155;1.0161346713183714
31;navarra;2023;Navarra;899;678333;1.325307776564018
31;navarra;2024;Navarra;902;683854;1.3189949901587181
32;ourense;2022;Galicia;294;304563;0.9653175205129974
32;ourense;2023;Galicia;347;304467;1.1396965845231173
32;ourense;2024;Galicia;377;305278;1.2349399563676386
33;asturias;2022;Asturias;899;1006060;0.8935848756535396
33;asturias;2023;Asturias;751;1009599;0.7438596908277444
33;asturias;2024;Asturias;1066;1015128;1.050113877264739
34;palencia;2022;Castilla y León;118;157787;0.7478436119578925
34;palencia;2023;Castilla y León;114;158063;0.7212314077298292
34;palencia;2024;Castilla y León;208;158702;1.310632506206601
35;palmas;2022;Canarias;1201;1145843;1.0481366120838544
35;palmas;2023;Canarias;1191;1159890;1.0268215089361923
35;palmas;2024;Canarias;1113;1171547;0.9500259059175603
36;pontevedra;2022;Galicia;1001;946710;1.0573459665578688
36;pontevedra;2023;Galicia;1148;947869;1.2111378260076022
36;pontevedra;2024;Galicia;1453;947818;1.5329947310559622
37;salamanca;2022;Castilla y León;506;327089;1.546979568252066
37;salamanca;2023;Castilla y León;580;327552;1.7707112153184839
37;salamanca;2024;Castilla y León;641;328446;1.9516145728673815
38;santa_cruz_de_tenerife;2022;Canarias;784;1067173;0.734651270225165
38;santa_cruz_de_tenerife;2023;Canarias;728;1078864;0.6747838467128388
38;santa_cruz_de_tenerife;2024;Canarias;880;1087319;0.8093301045967192
39;cantabria;2022;Cantabria;457;588387;0.7766996891501682
39;cantabria;2023;Cantabria;540;590851;0.913936000785308
39;cantabria;2024;Cantabria;762;593623;1.283642985531221
40;segovia;2022;Castilla y León;190;155332;1.2231864651198723
40;segovia;2023;Castilla y León;200;156620;1.2769761205465457
40;segovia;2024;Castilla y León;174;158251;1.0995191183626012
41;sevilla;2022;Andalucía;1740;1959394;0.8880296663151975
41;sevilla;2023;Andalucía;1939;1968624;0.9849519258121409
41;sevilla;2024;Andalucía;2370;1977664;1.1983835474580111
42;soria;2022;Castilla y León;82;89528;0.91591457421142
42;soria;2023;Castilla y León;107;90073;1.1879253494387885
42;soria;2024;Castilla y León;115;90183;1.2751849018107626
43;tarragona;2022;Cataluña;269;848592;0.31699568225955466
43;tarragona;2023;Cataluña;243;861744;0.2819862975547262
43;tarragona;2024;Cataluña;697;875530;0.7960892259545647
44;teruel;2022;Aragón;79;135046;0.5849858566710603
44;teruel;2023;Aragón;135;135309;0.9977163381593241
44;teruel;2024;Aragón;166;136091;1.2197720642805183
45;toledo;2022;Castilla-La Mancha;917;731112;1.254253794220311
45;toledo;2023;Castilla-La Mancha;908;743165;1.2218013496329885
45;toledo;2024;Castilla-La Mancha;915;755081;1.2117905231359283
46;valencia;2022;C. Valenciana;2731;2656841;1.027912471992114
46;valencia;2023;C. Valenciana;3225;2710808;1.189682190697386
46;valencia;2024;C. Valenciana;3004;2763996;1.0868322530133907
47;valladolid;2022;Castilla y León;509;521333;0.976343335257887
47;valladolid;2023;Castilla y León;666;525116;1.2682911966117962
47;valladolid;2024;Castilla y León;734;528644;1.388458017115488
48;bizkaia;2022;País Vasco;1174;1153282;1.01796438338585
48;bizkaia;2023;País Vasco;1429;1159368;1.232568088820806
48;bizkaia;2024;País Vasco;1438;1167233;1.23197339348699
49;zamora;2022;Castilla y León;104;166927;0.6230268320882781
49;zamora;2023;Castilla y León;151;166253;0.9082542871406831
49;zamora;2024;Castilla y León;160;165564;0.9663936604575873
50;zaragoza;2022;Aragón;659;979365;0.6728849815952174
50;zaragoza;2023;Aragón;922;987763;0.9334222885449243
50;zaragoza;2024;Aragón;961;998443;0.9624986103362937
51;ceuta;2022;Ceuta;98;83052;1.1799836247170448
51;ceuta;2023;Ceuta;78;83179;0.9377366883468183
51;ceuta;2024;Ceuta;95;83567;1.1368123780918304
52;melilla;2022;Melilla;76;85493;0.8889616693764402
52;melilla;2023;Melilla;72;85985;0.8373553526777926
52;melilla;2024;Melilla;93;87067;1.0681429244145313
