codigo_ine;Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;Peso_Tipologia
02;albacete;acceso__e_interceptacion_ilicita;2022;57;387529;Castilla-La Mancha;0.1471;1.7230955259975818
02;albacete;acceso__e_interceptacion_ilicita;2023;47;389070;Castilla-La Mancha;0.1208;1.299778761061947
02;albacete;acceso__e_interceptacion_ilicita;2024;84;390751;Castilla-La Mancha;0.215;2.405498281786942
02;albacete;amenazas_y_coacciones;2022;144;387529;Castilla-La Mancha;0.3716;4.353083434099154
02;albacete;amenazas_y_coacciones;2023;158;389070;Castilla-La Mancha;0.4061;4.369469026548672
02;albacete;amenazas_y_coacciones;2024;151;390751;Castilla-La Mancha;0.3864;4.324169530355097
02;albacete;contra_el_honor;2022;15;387529;Castilla-La Mancha;0.0387;0.4534461910519952
02;albacete;contra_el_honor;2023;16;389070;Castilla-La Mancha;0.0411;0.4424778761061947
02;albacete;contra_el_honor;2024;17;390751;Castilla-La Mancha;0.0435;0.4868270332187858
02;albacete;contra_la_propiedad_industrial/intelectual;2022;5;387529;Castilla-La Mancha;0.0129;0.15114873035066506
02;albacete;contra_la_propiedad_industrial/intelectual;2023;3;389070;Castilla-La Mancha;0.0077;0.08296460176991151
02;albacete;contra_la_propiedad_industrial/intelectual;2024;9;390751;Castilla-La Mancha;0.023;0.25773195876288657
02;albacete;delitos_sexuales;2022;16;387529;Castilla-La Mancha;0.0413;0.48367593712212814
02;albacete;delitos_sexuales;2023;16;389070;Castilla-La Mancha;0.0411;0.4424778761061947
02;albacete;delitos_sexuales;2024;12;390751;Castilla-La Mancha;0.0307;0.3436426116838488
02;albacete;falsificacion_informatica;2022;78;387529;Castilla-La Mancha;0.2013;2.357920193470375
02;albacete;falsificacion_informatica;2023;111;389070;Castilla-La Mancha;0.2853;3.0696902654867255
02;albacete;falsificacion_informatica;2024;143;390751;Castilla-La Mancha;0.366;4.095074455899198
02;albacete;interferencia_en_los_datos_y_en_el_sistema;2022;27;387529;Castilla-La Mancha;0.0697;0.8162031438935914
02;albacete;interferencia_en_los_datos_y_en_el_sistema;2023;36;389070;Castilla-La Mancha;0.0925;0.995575221238938
02;albacete;interferencia_en_los_datos_y_en_el_sistema;2024;64;390751;Castilla-La Mancha;0.1638;1.8327605956471937
03;alicante;acceso__e_interceptacion_ilicita;2022;198;1955268;C. Valenciana;0.1013;1.51434034416826
03;alicante;acceso__e_interceptacion_ilicita;2023;318;1993289;C. Valenciana;0.1595;1.7755443886097153
03;alicante;acceso__e_interceptacion_ilicita;2024;405;2033566;C. Valenciana;0.1992;2.2609278177859653
03;alicante;amenazas_y_coacciones;2022;713;1955268;C. Valenciana;0.3647;5.453154875717018
03;alicante;amenazas_y_coacciones;2023;853;1993289;C. Valenciana;0.4279;4.762702400893356
03;alicante;amenazas_y_coacciones;2024;890;2033566;C. Valenciana;0.4377;4.96845866130743
03;alicante;contra_el_honor;2022;45;1955268;C. Valenciana;0.023;0.3441682600382409
03;alicante;contra_el_honor;2023;41;1993289;C. Valenciana;0.0206;0.22892238972640985
03;alicante;contra_el_honor;2024;38;2033566;C. Valenciana;0.0187;0.2121364372243622
03;alicante;contra_la_propiedad_industrial/intelectual;2022;7;1955268;C. Valenciana;0.0036;0.05353728489483748
03;alicante;contra_la_propiedad_industrial/intelectual;2023;10;1993289;C. Valenciana;0.005;0.05583472920156338
03;alicante;contra_la_propiedad_industrial/intelectual;2024;20;2033566;C. Valenciana;0.0098;0.11165075643387483
03;alicante;delitos_sexuales;2022;95;1955268;C. Valenciana;0.0486;0.7265774378585086
03;alicante;delitos_sexuales;2023;84;1993289;C. Valenciana;0.0421;0.46901172529313234
03;alicante;delitos_sexuales;2024;85;2033566;C. Valenciana;0.0418;0.47451571484396804
03;alicante;falsificacion_informatica;2022;628;1955268;C. Valenciana;0.3212;4.803059273422562
03;alicante;falsificacion_informatica;2023;763;1993289;C. Valenciana;0.3828;4.2601898380792855
03;alicante;falsificacion_informatica;2024;945;2033566;C. Valenciana;0.4647;5.275498241500586
03;alicante;interferencia_en_los_datos_y_en_el_sistema;2022;109;1955268;C. Valenciana;0.0557;0.8336520076481835
03;alicante;interferencia_en_los_datos_y_en_el_sistema;2023;52;1993289;C. Valenciana;0.0261;0.29034059184812955
03;alicante;interferencia_en_los_datos_y_en_el_sistema;2024;46;2033566;C. Valenciana;0.0226;0.2567967397979121
04;almeria;acceso__e_interceptacion_ilicita;2022;39;753364;Andalucía;0.0518;1.119724375538329
04;almeria;acceso__e_interceptacion_ilicita;2023;87;760964;Andalucía;0.1143;1.7480409885473176
04;almeria;acceso__e_interceptacion_ilicita;2024;140;770554;Andalucía;0.1817;2.363268062120189
04;almeria;amenazas_y_coacciones;2022;207;753364;Andalucía;0.2748;5.943152454780361
04;almeria;amenazas_y_coacciones;2023;243;760964;Andalucía;0.3193;4.882459312839059
04;almeria;amenazas_y_coacciones;2024;284;770554;Andalucía;0.3686;4.794058068872384
04;almeria;contra_el_honor;2022;11;753364;Andalucía;0.0146;0.3158196956646569
04;almeria;contra_el_honor;2023;8;760964;Andalucía;0.0105;0.16073940124573036
