Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad
araba;acceso__e_interceptacion_ilicita;2024;32;341961;País Vasco;0.0936
araba;acceso__e_interceptacion_ilicita;2023;49;338594;País Vasco;0.1447
araba;acceso__e_interceptacion_ilicita;2022;38;336308;País Vasco;0.113
araba;amenazas_y_coacciones;2024;236;341961;País Vasco;0.6901
araba;amenazas_y_coacciones;2023;232;338594;País Vasco;0.6852
araba;amenazas_y_coacciones;2022;116;336308;País Vasco;0.3449
araba;contra_el_honor;2024;0;341961;País Vasco;0.0
araba;contra_el_honor;2023;0;338594;País Vasco;0.0
araba;contra_el_honor;2022;1;336308;País Vasco;0.003
araba;contra_la_propiedad_industrial/intelectual;2024;0;341961;País Vasco;0.0
araba;contra_la_propiedad_industrial/intelectual;2023;2;338594;País Vasco;0.0059
araba;contra_la_propiedad_industrial/intelectual;2022;0;336308;País Vasco;0.0
araba;delitos_sexuales;2024;18;341961;País Vasco;0.0526
araba;delitos_sexuales;2023;25;338594;País Vasco;0.0738
araba;delitos_sexuales;2022;5;336308;País Vasco;0.0149
araba;falsificacion_informatica;2024;197;341961;País Vasco;0.5761
araba;falsificacion_informatica;2023;201;338594;País Vasco;0.5936
araba;falsificacion_informatica;2022;205;336308;País Vasco;0.6096
araba;fraude_informatico;2024;3953;341961;País Vasco;11.5598
araba;fraude_informatico;2023;4139;338594;País Vasco;12.2241
araba;fraude_informatico;2022;3186;336308;País Vasco;9.4735
araba;interferencia_en_los_datos_y_en_el_sistema;2024;4;341961;País Vasco;0.0117
araba;interferencia_en_los_datos_y_en_el_sistema;2023;5;338594;País Vasco;0.0148
araba;interferencia_en_los_datos_y_en_el_sistema;2022;10;336308;País Vasco;0.0297
albacete;acceso__e_interceptacion_ilicita;2024;84;390751;Castilla-La Mancha;0.215
albacete;acceso__e_interceptacion_ilicita;2023;47;389070;Castilla-La Mancha;0.1208
albacete;acceso__e_interceptacion_ilicita;2022;57;387529;Castilla-La Mancha;0.1471
albacete;amenazas_y_coacciones;2024;151;390751;Castilla-La Mancha;0.3864
albacete;amenazas_y_coacciones;2023;158;389070;Castilla-La Mancha;0.4061
albacete;amenazas_y_coacciones;2022;144;387529;Castilla-La Mancha;0.3716
albacete;contra_el_honor;2024;17;390751;Castilla-La Mancha;0.0435
albacete;contra_el_honor;2023;16;389070;Castilla-La Mancha;0.0411
albacete;contra_el_honor;2022;15;387529;Castilla-La Mancha;0.0387
albacete;contra_la_propiedad_industrial/intelectual;2024;9;390751;Castilla-La Mancha;0.023
albacete;contra_la_propiedad_industrial/intelectual;2023;3;389070;Castilla-La Mancha;0.0077
albacete;contra_la_propiedad_industrial/intelectual;2022;5;387529;Castilla-La Mancha;0.0129
albacete;delitos_sexuales;2024;12;390751;Castilla-La Mancha;0.0307
albacete;delitos_sexuales;2023;16;389070;Castilla-La Mancha;0.0411
albacete;delitos_sexuales;2022;16;387529;Castilla-La Mancha;0.0413
albacete;falsificacion_informatica;2024;143;390751;Castilla-La Mancha;0.366
albacete;falsificacion_informatica;2023;111;389070;Castilla-La Mancha;0.2853
albacete;falsificacion_informatica;2022;78;387529;Castilla-La Mancha;0.2013
albacete;fraude_informatico;2024;3012;390751;Castilla-La Mancha;7.7082
albacete;fraude_informatico;2023;3229;389070;Castilla-La Mancha;8.2993
albacete;fraude_informatico;2022;2966;387529;Castilla-La Mancha;7.6536
albacete;interferencia_en_los_datos_y_en_el_sistema;2024;64;390751;Castilla-La Mancha;0.1638
albacete;interferencia_en_los_datos_y_en_el_sistema;2023;36;389070;Castilla-La Mancha;0.0925
albacete;interferencia_en_los_datos_y_en_el_sistema;2022;27;387529;Castilla-La Mancha;0.0697
alicante;acceso__e_interceptacion_ilicita;2024;405;2033566;C. Valenciana;0.1992
alicante;acceso__e_interceptacion_ilicita;2023;318;1993289;C. Valenciana;0.1595
alicante;acceso__e_interceptacion_ilicita;2022;198;1955268;C. Valenciana;0.1013
alicante;amenazas_y_coacciones;2024;890;2033566;C. Valenciana;0.4377
alicante;amenazas_y_coacciones;2023;853;1993289;C. Valenciana;0.4279
alicante;amenazas_y_coacciones;2022;713;1955268;C. Valenciana;0.3647
alicante;contra_el_honor;2024;38;2033566;C. Valenciana;0.0187
alicante;contra_el_honor;2023;41;1993289;C. Valenciana;0.0206
alicante;contra_el_honor;2022;45;1955268;C. Valenciana;0.023
alicante;contra_la_propiedad_industrial/intelectual;2024;20;2033566;C. Valenciana;0.0098
alicante;contra_la_propiedad_industrial/intelectual;2023;10;1993289;C. Valenciana;0.005
alicante;contra_la_propiedad_industrial/intelectual;2022;7;1955268;C. Valenciana;0.0036
alicante;delitos_sexuales;2024;85;2033566;C. Valenciana;0.0418
alicante;delitos_sexuales;2023;84;1993289;C. Valenciana;0.0421
alicante;delitos_sexuales;2022;95;1955268;C. Valenciana;0.0486
alicante;falsificacion_informatica;2024;945;2033566;C. Valenciana;0.4647
alicante;falsificacion_informatica;2023;763;1993289;C. Valenciana;0.3828
alicante;falsificacion_informatica;2022;628;1955268;C. Valenciana;0.3212
alicante;fraude_informatico;2024;15484;2033566;C. Valenciana;7.6142
alicante;fraude_informatico;2023;15789;1993289;C. Valenciana;7.9211
alicante;fraude_informatico;2022;11280;1955268;C. Valenciana;5.769
alicante;interferencia_en_los_datos_y_en_el_sistema;2024;46;2033566;C. Valenciana;0.0226
alicante;interferencia_en_los_datos_y_en_el_sistema;2023;52;1993289;C. Valenciana;0.0261
alicante;interferencia_en_los_datos_y_en_el_sistema;2022;109;1955268;C. Valenciana;0.0557
almeria;acceso__e_interceptacion_ilicita;2024;140;770554;Andalucía;0.1817
almeria;acceso__e_interceptacion_ilicita;2023;87;760964;Andalucía;0.1143
almeria;acceso__e_interceptacion_ilicita;2022;39;753364;Andalucía;0.0518
almeria;amenazas_y_coacciones;2024;284;770554;Andalucía;0.3686
almeria;amenazas_y_coacciones;2023;243;760964;Andalucía;0.3193
almeria;amenazas_y_coacciones;2022;207;753364;Andalucía;0.2748
almeria;contra_el_honor;2024;19;770554;Andalucía;0.0247
almeria;contra_el_honor;2023;8;760964;Andalucía;0.0105
almeria;contra_el_honor;2022;11;753364;Andalucía;0.0146
almeria;contra_la_propiedad_industrial/intelectual;2024;3;770554;Andalucía;0.0039
almeria;contra_la_propiedad_industrial/intelectual;2023;1;760964;Andalucía;0.0013
almeria;contra_la_propiedad_industrial/intelectual;2022;0;753364;Andalucía;0.0
almeria;delitos_sexuales;2024;25;770554;Andalucía;0.0324
almeria;delitos_sexuales;2023;51;760964;Andalucía;0.067
almeria;delitos_sexuales;2022;48;753364;Andalucía;0.0637
almeria;falsificacion_informatica;2024;214;770554;Andalucía;0.2777
almeria;falsificacion_informatica;2023;155;760964;Andalucía;0.2037
almeria;falsificacion_informatica;2022;127;753364;Andalucía;0.1686
almeria;fraude_informatico;2024;5226;770554;Andalucía;6.7821
almeria;fraude_informatico;2023;4414;760964;Andalucía;5.8005
almeria;fraude_informatico;2022;3041;753364;Andalucía;4.0366
almeria;interferencia_en_los_datos_y_en_el_sistema;2024;13;770554;Andalucía;0.0169
almeria;interferencia_en_los_datos_y_en_el_sistema;2023;18;760964;Andalucía;0.0237
almeria;interferencia_en_los_datos_y_en_el_sistema;2022;10;753364;Andalucía;0.0133
avila;acceso__e_interceptacion_ilicita;2024;16;160738;Castilla y León;0.0995
avila;acceso__e_interceptacion_ilicita;2023;10;160463;Castilla y León;0.0623
avila;acceso__e_interceptacion_ilicita;2022;7;159764;Castilla y León;0.0438
avila;amenazas_y_coacciones;2024;45;160738;Castilla y León;0.28
avila;amenazas_y_coacciones;2023;49;160463;Castilla y León;0.3054
avila;amenazas_y_coacciones;2022;48;159764;Castilla y León;0.3004
avila;contra_el_honor;2024;8;160738;Castilla y León;0.0498
avila;contra_el_honor;2023;7;160463;Castilla y León;0.0436
avila;contra_el_honor;2022;4;159764;Castilla y León;0.025
avila;contra_la_propiedad_industrial/intelectual;2024;0;160738;Castilla y León;0.0
avila;contra_la_propiedad_industrial/intelectual;2023;0;160463;Castilla y León;0.0
avila;contra_la_propiedad_industrial/intelectual;2022;0;159764;Castilla y León;0.0
avila;delitos_sexuales;2024;5;160738;Castilla y León;0.0311
avila;delitos_sexuales;2023;5;160463;Castilla y León;0.0312
avila;delitos_sexuales;2022;8;159764;Castilla y León;0.0501
avila;falsificacion_informatica;2024;72;160738;Castilla y León;0.4479
avila;falsificacion_informatica;2023;80;160463;Castilla y León;0.4986
avila;falsificacion_informatica;2022;54;159764;Castilla y León;0.338
avila;fraude_informatico;2024;1626;160738;Castilla y León;10.1158
avila;fraude_informatico;2023;1684;160463;Castilla y León;10.4946
avila;fraude_informatico;2022;1094;159764;Castilla y León;6.8476
avila;interferencia_en_los_datos_y_en_el_sistema;2024;3;160738;Castilla y León;0.0187
avila;interferencia_en_los_datos_y_en_el_sistema;2023;4;160463;Castilla y León;0.0249
avila;interferencia_en_los_datos_y_en_el_sistema;2022;3;159764;Castilla y León;0.0188
badajoz;acceso__e_interceptacion_ilicita;2024;150;665155;Extremadura;0.2255
badajoz;acceso__e_interceptacion_ilicita;2023;138;666029;Extremadura;0.2072
badajoz;acceso__e_interceptacion_ilicita;2022;73;666049;Extremadura;0.1096
badajoz;amenazas_y_coacciones;2024;360;665155;Extremadura;0.5412
badajoz;amenazas_y_coacciones;2023;312;666029;Extremadura;0.4684
badajoz;amenazas_y_coacciones;2022;249;666049;Extremadura;0.3738
badajoz;contra_el_honor;2024;41;665155;Extremadura;0.0616
badajoz;contra_el_honor;2023;32;666029;Extremadura;0.048
badajoz;contra_el_honor;2022;19;666049;Extremadura;0.0285
badajoz;contra_la_propiedad_industrial/intelectual;2024;1;665155;Extremadura;0.0015
badajoz;contra_la_propiedad_industrial/intelectual;2023;3;666029;Extremadura;0.0045
badajoz;contra_la_propiedad_industrial/intelectual;2022;2;666049;Extremadura;0.003
badajoz;delitos_sexuales;2024;26;665155;Extremadura;0.0391
badajoz;delitos_sexuales;2023;31;666029;Extremadura;0.0465
badajoz;delitos_sexuales;2022;21;666049;Extremadura;0.0315
badajoz;falsificacion_informatica;2024;500;665155;Extremadura;0.7517
badajoz;falsificacion_informatica;2023;338;666029;Extremadura;0.5075
badajoz;falsificacion_informatica;2022;280;666049;Extremadura;0.4204
badajoz;fraude_informatico;2024;4669;665155;Extremadura;7.0194
badajoz;fraude_informatico;2023;4809;666029;Extremadura;7.2204
badajoz;fraude_informatico;2022;4423;666049;Extremadura;6.6407
badajoz;interferencia_en_los_datos_y_en_el_sistema;2024;17;665155;Extremadura;0.0256
badajoz;interferencia_en_los_datos_y_en_el_sistema;2023;20;666029;Extremadura;0.03
