Provincias;Grupo penal;periodo;Total_Hechos;Poblacion_Provincial;CCAA;Tasa_Criminalidad;codigo_ine;Total_Provincial;Peso_Tipologia;Peso_Fraude;VAR_pct
albacete;acceso__e_interceptacion_ilicita;2022;57;387529;Castilla-La Mancha;0.1471;02;3308;1.7230955259975818;;
albacete;acceso__e_interceptacion_ilicita;2023;47;389070;Castilla-La Mancha;0.1208;02;3616;1.299778761061947;;-17.543859649122805
albacete;acceso__e_interceptacion_ilicita;2024;84;390751;Castilla-La Mancha;0.215;02;3492;2.405498281786942;;78.72340425531914
albacete;amenazas_y_coacciones;2022;144;387529;Castilla-La Mancha;0.3716;02;3308;4.353083434099154;;
albacete;amenazas_y_coacciones;2023;158;389070;Castilla-La Mancha;0.4061;02;3616;4.369469026548672;;9.722222222222232
albacete;amenazas_y_coacciones;2024;151;390751;Castilla-La Mancha;0.3864;02;3492;4.324169530355097;;-4.430379746835444
albacete;contra_el_honor;2022;15;387529;Castilla-La Mancha;0.0387;02;3308;0.4534461910519952;;
albacete;contra_el_honor;2023;16;389070;Castilla-La Mancha;0.0411;02;3616;0.4424778761061947;;6.666666666666665
albacete;contra_el_honor;2024;17;390751;Castilla-La Mancha;0.0435;02;3492;0.4868270332187858;;6.25
albacete;contra_la_propiedad_industrial/intelectual;2022;5;387529;Castilla-La Mancha;0.0129;02;3308;0.15114873035066506;;
albacete;contra_la_propiedad_industrial/intelectual;2023;3;389070;Castilla-La Mancha;0.0077;02;3616;0.08296460176991151;;-40.0
albacete;contra_la_propiedad_industrial/intelectual;2024;9;390751;Castilla-La Mancha;0.023;02;3492;0.25773195876288657;;200.0
albacete;delitos_sexuales;2022;16;387529;Castilla-La Mancha;0.0413;02;3308;0.48367593712212814;;
albacete;delitos_sexuales;2023;16;389070;Castilla-La Mancha;0.0411;02;3616;0.4424778761061947;;0.0
albacete;delitos_sexuales;2024;12;390751;Castilla-La Mancha;0.0307;02;3492;0.3436426116838488;;-25.0
albacete;falsificacion_informatica;2022;78;387529;Castilla-La Mancha;0.2013;02;3308;2.357920193470375;;
