Provincias;Total;periodo
Total Nacional;49128297;2024
Total Nacional;48619695;2023
Total Nacional;48085361;2022
02 Albacete;390751;2024
02 Albacete;389070;2023
02 Albacete;387529;2022
03 Alicante/Alacant;2033566;2024
03 Alicante/Alacant;1993289;2023
03 Alicante/Alacant;1955268;2022
04 Almería;770554;2024
04 Almería;760964;2023
04 Almería;753364;2022
01 Araba/Álava;341961;2024
01 Araba/Álava;338594;2023
01 Araba/Álava;336308;2022
33 Asturias;1015128;2024
33 Asturias;1009599;2023
33 Asturias;1006060;2022
05 Ávila;160738;2024
05 Ávila;160463;2023
05 Ávila;159764;2022
06 Badajoz;665155;2024
06 Badajoz;666029;2023
06 Badajoz;666049;2022
07 Balears, Illes;1249844;2024
07 Balears, Illes;1231768;2023
07 Balears, Illes;1209906;2022
08 Barcelona;5959941;2024
08 Barcelona;5877672;2023
08 Barcelona;5797356;2022
48 Bizkaia;1167233;2024
48 Bizkaia;1159368;2023
48 Bizkaia;1153282;2022
09 Burgos;362663;2024
09 Burgos;359740;2023
09 Burgos;357370;2022
10 Cáceres;388190;2024
10 Cáceres;388652;2023
10 Cáceres;388257;2022
11 Cádiz;1261420;2024
11 Cádiz;1258730;2023
11 Cádiz;1254866;2022
39 Cantabria;593623;2024
39 Cantabria;590851;2023
39 Cantabria;588387;2022
12 Castellón/Castelló;627620;2024
12 Castellón/Castelló;615188;2023
12 Castellón/Castelló;604086;2022
13 Ciudad Real;494848;2024
13 Ciudad Real;492948;2023
13 Ciudad Real;491927;2022
14 Córdoba;773163;2024
14 Córdoba;774313;2023
14 Córdoba;775002;2022
15 Coruña, A;1135623;2024
15 Coruña, A;1128449;2023
15 Coruña, A;1123884;2022
16 Cuenca;199859;2024
16 Cuenca;199025;2023
16 Cuenca;198436;2022
20 Gipuzkoa;733149;2024
20 Gipuzkoa;729722;2023
20 Gipuzkoa;726712;2022
17 Girona;830429;2024
17 Girona;821108;2023
17 Girona;808672;2022
18 Granada;945797;2024
18 Granada;939741;2023
18 Granada;934072;2022
19 Guadalajara;285839;2024
19 Guadalajara;280225;2023
19 Guadalajara;275082;2022
21 Huelva;538789;2024
21 Huelva;535734;2023
21 Huelva;534084;2022
22 Huesca;230087;2024
22 Huesca;228519;2023
22 Huesca;226878;2022
23 Jaén;618143;2024
23 Jaén;619055;2023
23 Jaén;620637;2022
24 León;448030;2024
24 León;447802;2023
24 León;448573;2022
25 Lleida;458226;2024
25 Lleida;451707;2023
25 Lleida;447343;2022
27 Lugo;326022;2024
27 Lugo;325048;2023
27 Lugo;324267;2022
28 Madrid;7113886;2024
28 Madrid;7009268;2023
28 Madrid;6871903;2022
29 Málaga;1791183;2024
29 Málaga;1774701;2023
29 Málaga;1752728;2022
30 Murcia;1586989;2024
30 Murcia;1568492;2023
30 Murcia;1551692;2022
31 Navarra;683854;2024
31 Navarra;678333;2023
31 Navarra;672155;2022
32 Ourense;305278;2024
32 Ourense;304467;2023
32 Ourense;304563;2022
34 Palencia;158702;2024
34 Palencia;158063;2023
34 Palencia;157787;2022
35 Palmas, Las;1171547;2024
35 Palmas, Las;1159890;2023
35 Palmas, Las;1145843;2022
36 Pontevedra;947818;2024
36 Pontevedra;947869;2023
36 Pontevedra;946710;2022
26 Rioja, La;326803;2024
26 Rioja, La;324184;2023
26 Rioja, La;322282;2022
37 Salamanca;328446;2024
37 Salamanca;327552;2023
37 Salamanca;327089;2022
38 Santa Cruz de Tenerife;1087319;2024
38 Santa Cruz de Tenerife;1078864;2023
38 Santa Cruz de Tenerife;1067173;2022
40 Segovia;158251;2024
40 Segovia;156620;2023
40 Segovia;155332;2022
41 Sevilla;1977664;2024
41 Sevilla;1968624;2023
41 Sevilla;1959394;2022
42 Soria;90183;2024
42 Soria;90073;2023
42 Soria;89528;2022
43 Tarragona;875530;2024
43 Tarragona;861744;2023
43 Tarragona;848592;2022
44 Teruel;136091;2024
44 Teruel;135309;2023
44 Teruel;135046;2022
45 Toledo;755081;2024
45 Toledo;743165;2023
45 Toledo;731112;2022
46 Valencia/València;2763996;2024
46 Valencia/València;2710808;2023
46 Valencia/València;2656841;2022
47 Valladolid;528644;2024
47 Valladolid;525116;2023
47 Valladolid;521333;2022
49 Zamora;165564;2024
49 Zamora;166253;2023
49 Zamora;166927;2022
50 Zaragoza;998443;2024
50 Zaragoza;987763;2023
50 Zaragoza;979365;2022
51 Ceuta;83567;2024
51 Ceuta;83179;2023
51 Ceuta;83052;2022
52 Melilla;87067;2024
52 Melilla;85985;2023
52 Melilla;85493;2022
