Provincias;Grupo penal;Poblacion_Provincial;periodo;Tasa_Predicha_2025;Hechos_Predichos_2025
albacete;fraude_informatico;390751;2025;7.900172000000002;3087.0
alicante;fraude_informatico;2033566;2025;8.072928000000001;16417.0
almeria;fraude_informatico;770554;2025;7.786300000000002;6000.0
araba;fraude_informatico;341961;2025;11.047861999999999;3778.0
asturias;fraude_informatico;1015128;2025;8.269940999999998;8395.0
avila;fraude_informatico;160738;2025;10.809001999999998;1737.0
badajoz;fraude_informatico;665155;2025;7.458949000000006;4961.0
balears;fraude_informatico;1249844;2025;9.849365;12310.0
barcelona;fraude_informatico;5959941;2025;9.814168;58492.0
bizkaia;fraude_informatico;1167233;2025;10.625387;12402.0
burgos;fraude_informatico;362663;2025;9.777844000000002;3546.0
caceres;fraude_informatico;388190;2025;6.033337000000005;2342.0
cadiz;fraude_informatico;1261420;2025;9.664798999999995;12191.0
cantabria;fraude_informatico;593623;2025;9.966831999999995;5917.0
castellon;fraude_informatico;627620;2025;6.983746000000002;4383.0
ceuta;fraude_informatico;83567;2025;6.116350000000003;511.0
ciudad_real;fraude_informatico;494848;2025;6.469197000000005;3201.0
cordoba;fraude_informatico;773163;2025;9.569392999999996;7399.0
coruna;fraude_informatico;1135623;2025;8.050471;9142.0
cuenca;fraude_informatico;199859;2025;6.985074999999996;1396.0
gipuzkoa;fraude_informatico;733149;2025;10.322467000000003;7568.0
girona;fraude_informatico;830429;2025;10.317218;8568.0
granada;fraude_informatico;945797;2025;10.055365999999996;9510.0
guadalajara;fraude_informatico;285839;2025;10.646600000000001;3043.0
huelva;fraude_informatico;538789;2025;6.586348000000002;3549.0
huesca;fraude_informatico;230087;2025;9.610679999999999;2211.0
jaen;fraude_informatico;618143;2025;7.394871000000002;4571.0
leon;fraude_informatico;448030;2025;9.613819999999993;4307.0
lleida;fraude_informatico;458226;2025;10.175138000000002;4663.0
lugo;fraude_informatico;326022;2025;6.584569000000004;2147.0
madrid;fraude_informatico;7113886;2025;10.295503000000002;73241.0
malaga;fraude_informatico;1791183;2025;9.750549999999993;17465.0
melilla;fraude_informatico;87067;2025;5.551600999999996;483.0
murcia;fraude_informatico;1586989;2025;7.8672920000000035;12485.0
navarra;fraude_informatico;683854;2025;10.048274999999995;6872.0
ourense;fraude_informatico;305278;2025;6.0252080000000054;1839.0
palencia;fraude_informatico;158702;2025;9.697365999999999;1539.0
palmas;fraude_informatico;1171547;2025;7.783757000000003;9119.0
pontevedra;fraude_informatico;947818;2025;8.287628999999999;7855.0
rioja;fraude_informatico;326803;2025;5.890629000000005;1925.0
salamanca;fraude_informatico;328446;2025;10.342742999999993;3397.0
santa_cruz_de_tenerife;fraude_informatico;1087319;2025;6.831482000000001;7428.0
segovia;fraude_informatico;158251;2025;11.258626000000003;1782.0
sevilla;fraude_informatico;1977664;2025;9.521010999999998;18829.0
soria;fraude_informatico;90183;2025;10.283263000000002;927.0
tarragona;fraude_informatico;875530;2025;9.688334000000003;8482.0
teruel;fraude_informatico;136091;2025;9.357207999999996;1273.0
toledo;fraude_informatico;755081;2025;7.968844000000001;6017.0
valencia;fraude_informatico;2763996;2025;8.203432000000003;22674.0
valladolid;fraude_informatico;528644;2025;10.438540999999988;5518.0
zamora;fraude_informatico;165564;2025;7.762055000000004;1285.0
zaragoza;fraude_informatico;998443;2025;8.389149999999999;8376.0
albacete;acceso__e_interceptacion_ilicita;390751;2025;0.23556993901729584;92.0
albacete;amenazas_y_coacciones;390751;2025;0.41977930068969727;164.0
albacete;contra_el_honor;390751;2025;0.04166042059659958;16.0
albacete;contra_la_propiedad_industrial/intelectual;390751;2025;0.022744975984096527;9.0
albacete;delitos_sexuales;390751;2025;0.03092680685222149;12.0
albacete;falsificacion_informatica;390751;2025;0.3849589228630066;150.0
albacete;interferencia_en_los_datos_y_en_el_sistema;390751;2025;0.18229790031909943;71.0
alicante;acceso__e_interceptacion_ilicita;2033566;2025;0.20747172832489014;422.0
alicante;amenazas_y_coacciones;2033566;2025;0.4683080315589905;952.0
alicante;contra_el_honor;2033566;2025;0.018906036391854286;38.0
alicante;contra_la_propiedad_industrial/intelectual;2033566;2025;0.010678309015929699;22.0
alicante;delitos_sexuales;2033566;2025;0.04158462584018707;85.0
alicante;falsificacion_informatica;2033566;2025;0.45749908685684204;930.0
alicante;interferencia_en_los_datos_y_en_el_sistema;2033566;2025;0.023511838167905807;48.0
almeria;acceso__e_interceptacion_ilicita;770554;2025;0.22054986655712128;170.0
almeria;amenazas_y_coacciones;770554;2025;0.37741056084632874;291.0
almeria;contra_el_honor;770554;2025;0.026715779677033424;21.0
almeria;contra_la_propiedad_industrial/intelectual;770554;2025;0.00398137466982007;3.0
almeria;delitos_sexuales;770554;2025;0.03424413129687309;26.0
almeria;falsificacion_informatica;770554;2025;0.30439019203186035;235.0
almeria;interferencia_en_los_datos_y_en_el_sistema;770554;2025;0.016411928460001945;13.0
araba;acceso__e_interceptacion_ilicita;341961;2025;0.08148878067731857;28.0
araba;amenazas_y_coacciones;341961;2025;0.7007485032081604;240.0
araba;contra_el_honor;341961;2025;0.00209014187566936;1.0
araba;contra_la_propiedad_industrial/intelectual;341961;2025;0.00209014187566936;1.0
araba;delitos_sexuales;341961;2025;0.04814118519425392;16.0
araba;falsificacion_informatica;341961;2025;0.576052725315094;197.0
araba;interferencia_en_los_datos_y_en_el_sistema;341961;2025;0.01072350237518549;4.0
asturias;acceso__e_interceptacion_ilicita;1015128;2025;0.3422839045524597;347.0
asturias;amenazas_y_coacciones;1015128;2025;0.33402979373931885;339.0
asturias;contra_el_honor;1015128;2025;0.02535814419388771;26.0
asturias;contra_la_propiedad_industrial/intelectual;1015128;2025;0.007186634931713343;7.0
asturias;delitos_sexuales;1015128;2025;0.025920236483216286;26.0
